GeneID,FractionBias,Flower_m6A_present
AT2G20260,Cytoplasm,True
AT1G79940,Cytoplasm,True
AT3G50070,Cytoplasm,False
AT4G13940,Cytoplasm,True
AT1G31330,Cytoplasm,True
AT1G65960,Cytoplasm,True
AT2G05320,Cytoplasm,True
AT2G31610,Cytoplasm,True
AT2G40510,Cytoplasm,True
AT3G27020,Cytoplasm,False
AT3G47470,Cytoplasm,True
AT3G61080,Cytoplasm,True
AT3G49910,Cytoplasm,True
AT1G09200,Cytoplasm,True
AT3G51600,Cytoplasm,False
AT1G70830,Cytoplasm,True
